Date,Description,Category,Money in,Money out,Reference
2026-09-02,Invoice 0041: website build,Sales and income,1800.00,,Client: Acme Ltd
2026-09-04,Laptop stand and cables,"Phone, stationery and office costs",,38.99,Receipt saved
2026-09-05,Train to client meeting,"Car, van and travel expenses",,24.60,Return ticket
2026-09-06,Accounting software subscription,"Phone, stationery and office costs",,12.00,Monthly
2026-09-09,Invoice 0042: monthly retainer,Sales and income,650.00,,Client: Bloom Studio
2026-09-10,Public liability insurance,"Rent, rates, power and insurance costs",,9.50,Monthly instalment
2026-09-12,Stock for resale,Cost of goods bought for resale,,210.00,Supplier invoice 8812
2026-09-15,Business bank account fee,"Bank, credit card and other financial charges",,5.00,
2026-09-18,Online advert campaign,Advertising and business entertainment costs,,60.00,
2026-09-22,Accountant (quarterly),"Accountancy, legal and other professional fees",,120.00,
2026-09-25,Mobile phone (business share),"Phone, stationery and office costs",,14.00,50% business use
2026-09-26,Invoice 0043: brand refresh,Sales and income,950.00,,Client: Northgate Cafe
2026-09-28,Set aside for tax,Tax savings,,700.00,Transfer to tax pot
